2021-04-01 19:19:04	2021-04-01 19:19:03	SPY	399.73 (800)  	399.74 (11800) 
updateMktDepth 1002 58 0 0 400.34 3
updateMktDepth 1002 59 0 0 400.35 3
updateMktDepth 1002 60 0 0 400.36 3
updateMktDepth 1002 61 0 0 400.37 4
updateMktDepth 1002 62 0 0 400.38 3
updateMktDepth 1002 63 0 0 400.39 4
updateMktDepth 1002 64 0 0 400.4 58
updateMktDepth 1002 65 0 0 400.41 3
updateMktDepth 1002 66 0 0 400.42 3
updateMktDepth 1002 67 0 0 400.43 3
updateMktDepth 1002 68 0 0 400.44 4
updateMktDepth 1002 69 0 0 400.45 3
updateMktDepth 1002 70 0 0 400.46 4
updateMktDepth 1002 71 0 0 400.47 3
updateMktDepth 1002 72 0 0 400.48 3
updateMktDepth 1002 73 0 0 400.49 3
updateMktDepth 1002 74 0 0 400.5 8
updateMktDepth 1002 75 0 0 400.51 3
updateMktDepth 1002 76 0 0 400.52 4
updateMktDepth 1002 77 0 0 400.57 2
updateMktDepth 1002 78 0 0 400.59 13
updateMktDepth 1002 79 0 0 400.6 7
updateMktDepth 1002 80 0 0 400.67 1
updateMktDepth 1002 81 0 0 400.68 1
updateMktDepth 1002 82 0 0 400.69 4
updateMktDepth 1002 83 0 0 400.75 1
updateMktDepth 1002 84 0 0 400.8 4
updateMktDepth 1002 85 0 0 400.81 13
updateMktDepth 1002 86 0 0 400.82 1
updateMktDepth 1002 87 0 0 400.85 50
updateMktDepth 1002 88 0 0 400.9 1
updateMktDepth 1002 89 0 0 400.94 1
updateMktDepth 1002 90 0 0 400.97 1
updateMktDepth 1002 91 0 0 400.99 1
updateMktDepth 1002 92 0 0 401.0 11
updateMktDepth 1002 93 0 0 401.01 1
updateMktDepth 1002 94 0 0 401.11 1
updateMktDepth 1002 95 0 0 401.12 1
updateMktDepth 1002 96 0 0 401.13 1
updateMktDepth 1002 97 0 0 401.16 4
updateMktDepth 1002 98 0 0 401.19 2
updateMktDepth 1002 99 0 0 401.2 1
updateMktDepth 1002 0 1 1 399.75 8
updateMktDepth 1002 3 1 1 399.72 21
updateMktDepth 1002 5 1 1 399.7 33
updateMktDepth 1002 6 1 1 399.69 20
updateMktDepth 1002 24 1 1 399.51 18
updateMktDepth 1002 5 1 0 399.81 19
updateMktDepth 1002 6 1 0 399.82 20
2021-04-01 19:19:05	2021-04-01 19:19:04	SPY	FINRA
2021-04-01 19:19:05	2021-04-01 19:19:04	SPY	ARCA
2021-04-01 19:19:05	2021-04-01 19:19:04	SPY	ISLAND
2021-04-01 19:19:05	2021-04-01 19:19:04	SPY	FINRA
2021-04-01 19:19:05	2021-04-01 19:19:04	SPY	IEX
2021-04-01 19:19:05	2021-04-01 19:19:05	SPY	BEX
updateMktDepth 1002 2 1 1 399.73 16
updateMktDepth 1002 3 1 1 399.72 33
updateMktDepth 1002 4 1 1 399.71 20
updateMktDepth 1002 8 1 1 399.67 30
updateMktDepth 1002 30 1 1 399.45 9
updateMktDepth 1002 0 1 0 399.76 5
updateMktDepth 1002 7 1 0 399.83 19
updateMktDepth 1002 99 2 1 0.0 0
updateMktDepth 1002 0 0 1 399.76 1
updateMktDepth 1002 1 1 1 399.75 9
updateMktDepth 1002 2 1 1 399.74 10
updateMktDepth 1002 3 1 1 399.73 6
updateMktDepth 1002 5 1 1 399.71 21
updateMktDepth 1002 8 1 1 399.68 20
updateMktDepth 1002 0 2 0 0.0 0
updateMktDepth 1002 99 0 0 401.24 1
updateMktDepth 1002 0 1 0 399.77 38
updateMktDepth 1002 2 1 0 399.79 19
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	FINRA
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	FINRA
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	ARCA
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	NYSE
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	ARCA
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	ARCA
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	ARCA
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	BATS
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	BATS
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	DRCTEDGE
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	BATS
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	DRCTEDGE
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	DRCTEDGE
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	ISLAND
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	ISLAND
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	ISLAND
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	ISLAND
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	ISLAND
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	399.75 (6200)  	399.77 (13700) 
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	399.76 (200)  	399.77 (13700) 
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	NYSENAT
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	ISLAND
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	ISLAND
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	BEX
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	DRCTEDGE
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	DRCTEDGE
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	BATS
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	BATS
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	DRCTEDGE
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	FINRA
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	ARCA
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	ARCA
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	ISLAND
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	ISLAND
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	BATS
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	BATS
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	399.76 (8200)  	399.78 (5400) 
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	399.77 (700)  	399.78 (4900) 
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	399.77 (1400)  	399.77 (100) 
2021-04-01 19:19:06	2021-04-01 19:19:05	SPY	399.77 (1400)  	399.78 (5300) 
updateMktDepth 1002 99 2 1 0.0 0
updateMktDepth 1002 0 0 1 399.77 7
updateMktDepth 1002 1 1 1 399.76 12
updateMktDepth 1002 2 1 1 399.75 22
updateMktDepth 1002 4 1 1 399.73 11
updateMktDepth 1002 5 1 1 399.72 27
updateMktDepth 1002 6 1 1 399.71 20
updateMktDepth 1002 24 1 1 399.53 17
updateMktDepth 1002 25 1 1 399.52 15
updateMktDepth 1002 81 1 1 398.96 4
updateMktDepth 1002 83 1 1 398.94 2
updateMktDepth 1002 0 2 0 0.0 0
updateMktDepth 1002 99 0 0 401.26 1
updateMktDepth 1002 0 1 0 399.78 11
updateMktDepth 1002 1 1 0 399.79 10
updateMktDepth 1002 2 1 0 399.8 4
updateMktDepth 1002 3 1 0 399.81 7
updateMktDepth 1002 4 1 0 399.82 10
updateMktDepth 1002 5 1 0 399.83 22
updateMktDepth 1002 7 1 0 399.85 24
updateMktDepth 1002 20 1 0 399.98 21
updateMktDepth 1002 21 1 0 399.99 20
updateMktDepth 1002 22 1 0 400.0 221
updateMktDepth 1002 0 1 1 399.77 15
updateMktDepth 1002 1 1 1 399.76 15
updateMktDepth 1002 2 1 1 399.75 21
updateMktDepth 1002 3 1 1 399.74 6
updateMktDepth 1002 4 1 1 399.73 23
updateMktDepth 1002 5 1 1 399.72 29
updateMktDepth 1002 6 1 1 399.71 21
updateMktDepth 1002 8 1 1 399.69 18
updateMktDepth 1002 17 1 1 399.6 29
updateMktDepth 1002 28 1 1 399.49 4
updateMktDepth 1002 0 2 0 0.0 0
updateMktDepth 1002 99 0 0 401.27 1
updateMktDepth 1002 0 1 0 399.79 20
updateMktDepth 1002 1 1 0 399.8 6
updateMktDepth 1002 3 1 0 399.82 18
updateMktDepth 1002 4 1 0 399.83 11
updateMktDepth 1002 5 1 0 399.84 29
updateMktDepth 1002 7 1 0 399.86 20
updateMktDepth 1002 10 1 0 399.89 18
updateMktDepth 1002 15 1 0 399.94 19
updateMktDepth 1002 26 1 0 400.05 16
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	ARCA
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	ARCA
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	ARCA
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	ARCA
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	ARCA
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	BATS
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	BATS
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	BATS
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	BATS
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	BATS
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	ISLAND
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	ISLAND
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	ISLAND
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	ISLAND
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	PSX
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	BYX
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	IEX
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	MEMX
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	ISLAND
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	ISLAND
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	ISLAND
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	DRCTEDGE
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	FINRA
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	FINRA
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	FINRA
2021-04-01 19:19:06	2021-04-01 19:19:06	SPY	DRCTEDGE
updateMktDepth 1002 0 1 1 399.77 11
updateMktDepth 1002 1 1 1 399.76 14
updateMktDepth 1002 4 1 1 399.73 24
updateMktDepth 1002 5 1 1 399.72 34
updateMktDepth 1002 16 1 1 399.61 19
updateMktDepth 1002 23 1 1 399.54 19
updateMktDepth 1002 26 1 1 399.51 20
updateMktDepth 1002 99 2 0 0.0 0
updateMktDepth 1002 0 0 0 399.78 3
updateMktDepth 1002 1 1 0 399.79 25
updateMktDepth 1002 11 1 0 399.89 28
updateMktDepth 1002 0 1 1 399.77 13
updateMktDepth 1002 0 2 0 0.0 0
updateMktDepth 1002 99 0 0 401.27 1
updateMktDepth 1002 0 1 0 399.79 15
updateMktDepth 1002 99 2 1 0.0 0
updateMktDepth 1002 0 0 1 399.78 1
updateMktDepth 1002 1 1 1 399.77 12
updateMktDepth 1002 2 1 1 399.76 15
updateMktDepth 1002 3 1 1 399.75 16
updateMktDepth 1002 11 1 1 399.67 29
updateMktDepth 1002 27 1 1 399.51 22
updateMktDepth 1002 0 1 0 399.79 13
updateMktDepth 1002 99 2 1 0.0 0
updateMktDepth 1002 0 0 1 399.79 1
updateMktDepth 1002 1 1 1 399.78 16
updateMktDepth 1002 2 1 1 399.77 25
updateMktDepth 1002 3 1 1 399.76 20
updateMktDepth 1002 4 1 1 399.75 12
updateMktDepth 1002 6 1 1 399.73 23
updateMktDepth 1002 9 1 1 399.7 32
updateMktDepth 1002 11 1 1 399.68 19
updateMktDepth 1002 22 1 1 399.57 19
updateMktDepth 1002 24 1 1 399.55 14
updateMktDepth 1002 25 1 1 399.54 14
updateMktDepth 1002 81 1 1 398.98 3
updateMktDepth 1002 83 1 1 398.96 3
updateMktDepth 1002 0 2 0 0.0 0
updateMktDepth 1002 73 0 0 400.53 3
updateMktDepth 1002 0 1 0 399.8 12
updateMktDepth 1002 1 1 0 399.81 5
updateMktDepth 1002 2 1 0 399.82 13
updateMktDepth 1002 21 1 0 400.01 30
updateMktDepth 1002 22 1 0 400.02 22
2021-04-01 19:19:07	2021-04-01 19:19:06	SPY	ISLAND
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	DRCTEDGE
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	399.78 (300)  	399.79 (5500) 
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	EDGEA
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	NYSE
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	BEX
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	NYSENAT
