2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	399.54 (4500)  	399.55 (1100) 
updateMktDepth 1002 76 0 0 400.31 3
updateMktDepth 1002 77 0 0 400.32 4
updateMktDepth 1002 78 0 0 400.33 3
updateMktDepth 1002 79 0 0 400.34 3
updateMktDepth 1002 80 0 0 400.35 3
updateMktDepth 1002 81 0 0 400.36 3
updateMktDepth 1002 82 0 0 400.37 4
updateMktDepth 1002 83 0 0 400.38 3
updateMktDepth 1002 84 0 0 400.39 4
updateMktDepth 1002 85 0 0 400.4 58
updateMktDepth 1002 86 0 0 400.41 3
updateMktDepth 1002 87 0 0 400.42 3
updateMktDepth 1002 88 0 0 400.43 3
updateMktDepth 1002 89 0 0 400.44 4
updateMktDepth 1002 90 0 0 400.45 3
updateMktDepth 1002 91 0 0 400.46 4
updateMktDepth 1002 92 0 0 400.47 3
updateMktDepth 1002 93 0 0 400.48 3
updateMktDepth 1002 94 0 0 400.49 3
updateMktDepth 1002 95 0 0 400.5 7
updateMktDepth 1002 96 0 0 400.52 1
updateMktDepth 1002 97 0 0 400.57 2
updateMktDepth 1002 98 0 0 400.59 13
updateMktDepth 1002 99 0 0 400.6 7
updateMktDepth 1002 0 1 1 399.54 1
updateMktDepth 1002 1 1 1 399.53 2
updateMktDepth 1002 2 1 1 399.52 7
updateMktDepth 1002 3 1 1 399.51 4
updateMktDepth 1002 4 1 1 399.5 34
updateMktDepth 1002 5 1 1 399.49 74
updateMktDepth 1002 6 1 1 399.48 25
updateMktDepth 1002 7 1 1 399.47 31
updateMktDepth 1002 8 1 1 399.46 19
updateMktDepth 1002 9 1 1 399.45 43
updateMktDepth 1002 10 1 1 399.44 23
updateMktDepth 1002 11 1 1 399.43 23
updateMktDepth 1002 12 1 1 399.42 28
updateMktDepth 1002 13 1 1 399.41 18
updateMktDepth 1002 14 1 1 399.4 33
updateMktDepth 1002 15 1 1 399.39 18
updateMktDepth 1002 16 1 1 399.38 19
updateMktDepth 1002 17 1 1 399.37 19
updateMktDepth 1002 18 1 1 399.36 19
updateMktDepth 1002 19 1 1 399.35 22
updateMktDepth 1002 20 1 1 399.34 20
updateMktDepth 1002 21 1 1 399.33 22
updateMktDepth 1002 22 1 1 399.32 28
updateMktDepth 1002 23 1 1 399.31 24
updateMktDepth 1002 24 1 1 399.3 20
